0,23.1226102427,6282.83269295
1,49.8772279789,11449.4950539
2,51.4443321158,8226.76881781
3,285.708614836,12621.1254752
4,291.513155684,2425.37535128
5,605.531283932,12596.9857937
6,1001.8810959,8701.25786569
7,1417.42621453,3066.80109533
8,1685.53932836,3236.08198032
9,2117.52385999,11787.1243037
10,2175.38024919,8703.37310474
11,2617.41421555,10484.1321345
12,2667.97925481,9169.57579122
13,2815.02803103,5384.00667687
14,2918.2698783,4473.35802916
15,2994.96572102,11161.6843939
16,3291.48746857,3196.89103501
17,3330.21816033,12685.6540877
18,3489.60837388,4338.63048329
19,3712.87689646,4579.06460782
20,3870.37958369,373.978633716
21,3928.06212224,10890.4348251
22,4145.60661974,904.731275613
23,4168.03721762,12506.6135688
24,4181.43393135,7733.57561652
25,4265.70066165,7653.48028809
26,4360.98556474,11001.4266332
27,4366.02990581,4449.14881403
28,4366.50724957,9162.94268407
29,4380.8248322,6244.39180365
30,4435.36245331,9179.98704777
31,4675.51950815,5772.30193876
32,4698.5015428,12686.3149136
33,4801.60025043,8805.03904891
34,4837.3890729,8991.17756068
35,5037.0700864,12642.5203672
36,5039.09649417,11692.2898087
37,5179.85877078,6412.00006351
38,5194.69641772,7198.72247983
39,5229.56262087,10648.1150902
40,5260.15393583,8698.26633871
41,5309.42671925,3990.79461883
42,5643.97910614,1743.33622798
43,5661.02020431,4456.49693882
44,5677.59801003,7950.76446887
45,5825.60894644,10327.0255028
46,5961.00248231,2745.9403754
47,5975.85203441,10982.3046957
48,6119.254966,317.542764764
49,6148.89643042,11002.8310446
50,6167.55674137,477.142287637
51,6224.20301682,2679.98660469
52,6248.1483789,8798.53703641
53,6299.68505283,9639.07782932
54,6368.71557037,9071.15657485
55,6410.07307838,6837.84399138
56,6669.68468472,3311.75792337
57,6704.78354731,5967.53962171
58,6717.4313745,1889.67486692
59,6810.80926915,11763.8476277
